OBJECTID,name,year,rate
9,Winnebago,2017,2.645390071
9,Winnebago,2018,2.646356033
9,Winnebago,2019,2.637243047
9,Winnebago,2020,2.920438957
9,Winnebago,2021,2.984722222
9,Winnebago,2022,2.611111111
10,Mitchell,2001,4.582901554
10,Mitchell,2002,4.534526854
10,Mitchell,2003,4.524173028
10,Mitchell,2004,1.911917098
10,Mitchell,2005,2.046961326
10,Mitchell,2006,4.546419098
10,Mitchell,2007,4.532085561
10,Mitchell,2008,4.226804124
10,Mitchell,2009,3.723004695
10,Mitchell,2010,3.552173913
10,Mitchell,2011,3.232931727
10,Mitchell,2012,3.027422303
10,Mitchell,2013,3.278242678
10,Mitchell,2014,3.203703704
10,Mitchell,2015,3.149797571
10,Mitchell,2016,3.498855835
10,Mitchell,2017,3.211538462
10,Mitchell,2018,3.067209776
10,Mitchell,2019,3.248908297
10,Mitchell,2020,3.131078224
10,Mitchell,2021,3.109704641
10,Mitchell,2022,3.396825397
11,Worth,2001,4.195219124
11,Worth,2002,3.954198473
11,Worth,2003,3.628865979
11,Worth,2004,3.5
11,Worth,2005,3.350649351
11,Worth,2006,3.129518072
11,Worth,2007,3.320819113
11,Worth,2008,3.749003984
11,Worth,2009,3.103896104
11,Worth,2010,2.771513353
11,Worth,2011,3.025287356
11,Worth,2012,2.71541502
11,Worth,2013,2.74522293
11,Worth,2014,2.83632287
11,Worth,2015,2.859090909
11,Worth,2016,2.82
11,Worth,2017,2.900921659
11,Worth,2018,2.47983871
11,Worth,2019,2.462626263
11,Worth,2020,2.684210526
11,Worth,2021,2.860730594
11,Worth,2022,2.558943089
12,Sioux,2001,3.726943942
12,Sioux,2002,3.73465704
12,Sioux,2003,3.68783542
12,Sioux,2004,2.529668412
12,Sioux,2005,2.515679443
12,Sioux,2006,3.578456319
12,Sioux,2007,3.5344
12,Sioux,2008,3.502736513
12,Sioux,2009,1.486430063
12,Sioux,2010,1.37037037
12,Sioux,2011,1.29589372
12,Sioux,2012,1.321106434
12,Sioux,2013,1.214076246
12,Sioux,2014,2.535926526
12,Sioux,2015,2.5777897
12,Sioux,2016,2.616372392
12,Sioux,2017,2.691769769
12,Sioux,2018,2.466341463
12,Sioux,2019,2.388052896
12,Sioux,2020,2.101578308
12,Sioux,2021,2.693597561
12,Sioux,2022,2.434259259
13,Obrien,2001,4.124423963
13,Obrien,2002,3.964885496
13,Obrien,2003,3.856711916
13,Obrien,2004,2.121640736
13,Obrien,2005,2.140324963
13,Obrien,2006,3.592203898
13,Obrien,2007,3.493313522
13,Obrien,2008,3.498529412
13,Obrien,2009,1.765667575
13,Obrien,2010,1.64556962
13,Obrien,2011,1.571257485
13,Obrien,2012,1.617100372
13,Obrien,2013,2.603508772
13,Obrien,2014,2.542237443
13,Obrien,2015,2.530973451
13,Obrien,2016,2.398713826
13,Obrien,2017,2.498866213
13,Obrien,2018,2.237574553
13,Obrien,2019,2.411385607
13,Obrien,2020,2.497767857
13,Obrien,2021,2.508908686
13,Obrien,2022,2.322614108
14,Clay,2001,4.127465857
14,Clay,2002,3.718270572
14,Clay,2003,3.795163585
14,Clay,2004,0.732240437
14,Clay,2005,0.649550706
14,Clay,2006,3.114914425
14,Clay,2007,3.095179234
14,Clay,2008,2.953181273
14,Clay,2009,0.452747253
14,Clay,2010,0.373150106
14,Clay,2011,0.360323887
14,Clay,2012,0.317658349
14,Clay,2013,0.32565445
14,Clay,2014,2.22265625
14,Clay,2015,2.351753454
14,Clay,2016,2.468926554
14,Clay,2017,2.476836158
14,Clay,2018,2.236180905
14,Clay,2019,2.264830508
14,Clay,2020,2.288562434
14,Clay,2021,2.307692308
14,Clay,2022,2.187992126
15,Palo Alto,2001,3.732067511
15,Palo Alto,2002,3.405189621
15,Palo Alto,2003,3.396303901
15,Palo Alto,2004,2.992537313
15,Palo Alto,2005,2.8866171
15,Palo Alto,2006,3.059055118
15,Palo Alto,2007,3.098790323
15,Palo Alto,2008,2.814285714
15,Palo Alto,2009,2.729241877
15,Palo Alto,2010,2.765923567
15,Palo Alto,2011,2.758454106
15,Palo Alto,2012,2.612121212
15,Palo Alto,2013,2.548286604
15,Palo Alto,2014,2.451070336
15,Palo Alto,2015,2.545454545
15,Palo Alto,2016,2.368723099
15,Palo Alto,2017,2.447004608
15,Palo Alto,2018,2.318926975
15,Palo Alto,2019,2.150344828
15,Palo Alto,2020,2.190677966
15,Palo Alto,2021,2.312217195
15,Palo Alto,2022,2.12995896
16,Hancock,2001,4.262820513
16,Hancock,2002,4.151898734
16,Hancock,2003,3.964876033
16,Hancock,2004,3.431985294
16,Hancock,2005,3.289855072
16,Hancock,2006,3.473180077
16,Hancock,2007,3.253496503
16,Hancock,2008,3.189380531
16,Hancock,2009,2.884033613
16,Hancock,2010,2.877221325
16,Hancock,2011,2.739616613
16,Hancock,2012,2.861538462
16,Hancock,2013,2.656140351
16,Hancock,2014,2.762962963
16,Hancock,2015,2.972273567
16,Hancock,2016,3.021235521
16,Hancock,2017,3.00589391
16,Hancock,2018,2.618150685
16,Hancock,2019,3.014112903
16,Hancock,2020,3.039175258
16,Hancock,2021,3.126609442
16,Hancock,2022,3.264108352
17,Cerro Gordo,2001,3.753929539
17,Cerro Gordo,2002,3.598635887
17,Cerro Gordo,2003,3.51720487
17,Cerro Gordo,2004,0.463579605
17,Cerro Gordo,2005,0.431472081
17,Cerro Gordo,2006,3.174523571
17,Cerro Gordo,2007,3.034889435
17,Cerro Gordo,2008,2.854728186
17,Cerro Gordo,2009,0.279769262
17,Cerro Gordo,2010,0.269822485
17,Cerro Gordo,2011,0.111813512
17,Cerro Gordo,2012,0.359038737
17,Cerro Gordo,2013,0.361651449
17,Cerro Gordo,2014,2.232479277
17,Cerro Gordo,2015,2.212807497
17,Cerro Gordo,2016,2.218345747
17,Cerro Gordo,2017,2.517689207
17,Cerro Gordo,2018,2.256565657
17,Cerro Gordo,2019,2.163413701
17,Cerro Gordo,2020,2.132375776
17,Cerro Gordo,2021,2.304570696
17,Cerro Gordo,2022,2.105590062
18,Chickasaw,2001,4.4646098
18,Chickasaw,2002,4.536312849
18,Chickasaw,2003,4.3432282
18,Chickasaw,2004,1.960644007
18,Chickasaw,2005,2.014732965
18,Chickasaw,2006,3.960784314
18,Chickasaw,2007,4.166666667
18,Chickasaw,2008,3.870106762
18,Chickasaw,2009,1.582677165
18,Chickasaw,2010,1.492668622
18,Chickasaw,2011,1.553772071
18,Chickasaw,2012,1.563091483
18,Chickasaw,2013,2.985893417
18,Chickasaw,2014,3.174089069
